concept_a_id,concept_a,concept_b_id,concept_b,cooccurrence_count,gcn_adj_weight
289,concept_289,304,concept_304,1162.0,0.00482686934992671
163,concept_163,244,concept_244,1156.0,0.0065378351137042046
75,concept_75,235,concept_235,1154.0,0.008219704031944275
51,concept_51,218,concept_218,1149.0,0.0058364723809063435
163,concept_163,289,concept_289,1148.0,0.007128895726054907
178,concept_178,289,concept_289,1146.0,0.006675768177956343
54,concept_54,304,concept_304,1137.0,0.005313139874488115
54,concept_54,259,concept_259,1137.0,0.005157299805432558
145,concept_145,194,concept_194,1137.0,0.0
145,concept_145,298,concept_298,1135.0,0.0
131,concept_131,145,concept_145,1131.0,0.01035874430090189
21,concept_21,36,concept_36,1122.0,0.014522524550557137
151,concept_151,259,concept_259,1117.0,0.003699996042996645
35,concept_35,235,concept_235,1116.0,0.005763198249042034
209,concept_209,218,concept_218,1116.0,0.0052064647898077965
54,concept_54,163,concept_163,1113.0,0.005835987161844969
54,concept_54,101,concept_101,1112.0,0.006357889622449875
25,concept_25,59,concept_59,1109.0,0.015263703651726246
218,concept_218,236,concept_236,1103.0,0.0034125635866075754
218,concept_218,259,concept_259,1100.0,0.0037472746334969997
63,concept_63,253,concept_253,1098.0,0.015088473446667194
101,concept_101,244,concept_244,1098.0,0.008873282000422478
90,concept_90,259,concept_259,1092.0,0.011311905458569527
75,concept_75,218,concept_218,1088.0,0.007460715249180794
51,concept_51,235,concept_235,1086.0,0.005730058066546917
69,concept_69,304,concept_304,1085.0,0.010484647005796432
69,concept_69,90,concept_90,1083.0,0.01288679800927639
218,concept_218,240,concept_240,1083.0,0.00352724501863122
10,concept_10,59,concept_59,1082.0,0.013799450360238552
149,concept_149,289,concept_289,1078.0,0.005821262951940298
75,concept_75,244,concept_244,1075.0,0.006834725849330425
145,concept_145,157,concept_157,1073.0,0.0
59,concept_59,145,concept_145,1072.0,0.010032172314822674
117,concept_117,151,concept_151,1071.0,0.006105384789407253
132,concept_132,194,concept_194,1070.0,0.010660268366336823
145,concept_145,172,concept_172,1066.0,0.0
236,concept_236,289,concept_289,1065.0,0.004832172766327858
151,concept_151,163,concept_163,1065.0,0.0
7,concept_7,235,concept_235,1062.0,0.009472152218222618
69,concept_69,178,concept_178,1061.0,0.01122658234089613
244,concept_244,260,concept_260,1061.0,0.0
151,concept_151,212,concept_212,1058.0,0.0
209,concept_209,235,concept_235,1054.0,0.005107614677399397
151,concept_151,304,concept_304,1053.0,0.0
14,concept_14,244,concept_244,1052.0,0.006753593683242798
151,concept_151,311,concept_311,1044.0,0.0
20,concept_20,51,concept_51,1043.0,0.00762568786740303
151,concept_151,178,concept_178,1043.0,0.0
69,concept_69,193,concept_193,1041.0,0.011936558410525322
14,concept_14,54,concept_54,1040.0,0.010005369782447815
69,concept_69,163,concept_163,1039.0,0.011265953071415424
116,concept_116,145,concept_145,1038.0,0.010429028421640396
10,concept_10,151,concept_151,1035.0,0.008514643646776676
145,concept_145,213,concept_213,1030.0,0.0
157,concept_157,298,concept_298,1029.0,0.0193282812833786
20,concept_20,236,concept_236,1029.0,0.005713635124266148
178,concept_178,218,concept_218,1028.0,0.005882262717932463
14,concept_14,151,concept_151,1027.0,0.007753413170576096
117,concept_117,218,concept_218,1027.0,0.005369448568671942
244,concept_244,253,concept_253,1025.0,0.0
244,concept_244,311,concept_311,1023.0,0.0
235,concept_235,236,concept_236,1021.0,0.003394339932128787
59,concept_59,249,concept_249,1019.0,0.015359852463006973
274,concept_274,289,concept_289,1015.0,0.009444278664886951
240,concept_240,289,concept_289,1013.0,0.004969160538166761
187,concept_187,253,concept_253,1012.0,0.014227994717657566
21,concept_21,51,concept_51,1012.0,0.012279481627047062
163,concept_163,218,concept_218,1009.0,0.006154690869152546
151,concept_151,221,concept_221,1009.0,0.0
20,concept_20,209,concept_209,1008.0,0.006465124897658825
54,concept_54,260,concept_260,1008.0,0.0
20,concept_20,240,concept_240,1006.0,0.005880266893655062
151,concept_151,253,concept_253,1005.0,0.0
218,concept_218,304,concept_304,1003.0,0.003520081052556634
54,concept_54,75,concept_75,1003.0,0.0
7,concept_7,218,concept_218,1001.0,0.008595268242061138
151,concept_151,283,concept_283,1000.0,0.0
51,concept_51,194,concept_194,999.0,0.008645329624414444
51,concept_51,289,concept_289,999.0,0.00516608078032732
145,concept_145,294,concept_294,999.0,0.0
29,concept_29,244,concept_244,998.0,0.006520539056509733
145,concept_145,262,concept_262,998.0,0.0
117,concept_117,194,concept_194,997.0,0.008880553767085075
54,concept_54,253,concept_253,997.0,0.0
145,concept_145,239,concept_239,997.0,0.0
69,concept_69,289,concept_289,996.0,0.0072268154472112656
54,concept_54,311,concept_311,995.0,0.0
29,concept_29,54,concept_54,993.0,0.00972260907292366
178,concept_178,304,concept_304,993.0,0.007703751791268587
193,concept_193,289,concept_289,989.0,0.007703294046223164
132,concept_132,151,concept_151,988.0,0.006299701519310474
53,concept_53,145,concept_145,987.0,0.010105391032993793
84,concept_84,145,concept_145,986.0,0.010222675278782845
235,concept_235,240,concept_240,984.0,0.0034437107387930155
29,concept_29,151,concept_151,983.0,0.0075528305023908615
44,concept_44,145,concept_145,979.0,0.010161924175918102
131,concept_131,163,concept_163,978.0,0.014245359227061272
151,concept_151,310,concept_310,978.0,0.0
244,concept_244,274,concept_274,975.0,0.0
132,concept_132,218,concept_218,972.0,0.005684142466634512
193,concept_193,244,concept_244,971.0,0.006888032890856266
29,concept_29,187,concept_187,969.0,0.011664397083222866
145,concept_145,179,concept_179,969.0,0.0
23,concept_23,145,concept_145,967.0,0.009833747521042824
21,concept_21,209,concept_209,965.0,0.010271847248077393
20,concept_20,117,concept_117,964.0,0.006654858123511076
20,concept_20,149,concept_149,964.0,0.006213644985109568
54,concept_54,274,concept_274,964.0,0.0
187,concept_187,298,concept_298,962.0,0.014848100021481514
35,concept_35,236,concept_236,961.0,0.005710565950721502
25,concept_25,151,concept_151,960.0,0.008522975258529186
69,concept_69,244,concept_244,959.0,0.006337266881018877
131,concept_131,304,concept_304,958.0,0.01243574172258377
21,concept_21,117,concept_117,958.0,0.010975697077810764
212,concept_212,235,concept_235,956.0,0.007428915239870548
6,concept_6,20,concept_20,955.0,0.009397480636835098
163,concept_163,178,concept_178,955.0,0.008648251183331013
10,concept_10,235,concept_235,955.0,0.007484519854187965
110,concept_110,145,concept_145,953.0,0.010191273875534534
209,concept_209,289,concept_289,953.0,0.004526233300566673
131,concept_131,259,concept_259,952.0,0.011995385400950909
69,concept_69,151,concept_151,950.0,0.007382616400718689
20,concept_20,131,concept_131,950.0,0.007231999188661575
151,concept_151,249,concept_249,949.0,0.0
194,concept_194,209,concept_209,947.0,0.012831714004278183
151,concept_151,268,concept_268,946.0,0.0
21,concept_21,260,concept_260,945.0,0.011591466143727303
36,concept_36,51,concept_51,944.0,0.012714650481939316
218,concept_218,268,concept_268,944.0,0.0
20,concept_20,21,concept_21,941.0,0.007279817946255207
20,concept_20,311,concept_311,941.0,0.0059397523291409016
117,concept_117,235,concept_235,941.0,0.005110314581543207
153,concept_153,294,concept_294,938.0,0.01816752925515175
7,concept_7,244,concept_244,938.0,0.007467741146683693
35,concept_35,51,concept_51,938.0,0.007339326664805412
235,concept_235,311,concept_311,937.0,0.0
244,concept_244,268,concept_268,937.0,0.0
90,concept_90,244,concept_244,936.0,0.006830888334661722
54,concept_54,69,concept_69,934.0,0.0
235,concept_235,283,concept_283,934.0,0.0
90,concept_90,289,concept_289,933.0,0.007476308848708868
218,concept_218,253,concept_253,932.0,0.0
218,concept_218,283,concept_283,931.0,0.0
221,concept_221,235,concept_235,930.0,0.008682368323206902
51,concept_51,149,concept_149,930.0,0.0065545192919671535
244,concept_244,283,concept_283,930.0,0.0
14,concept_14,172,concept_172,929.0,0.011179772205650806
57,concept_57,145,concept_145,929.0,0.010837065987288952
212,concept_212,244,concept_244,929.0,0.006443850230425596
151,concept_151,187,concept_187,929.0,0.0
178,concept_178,193,concept_193,928.0,0.008542900905013084
14,concept_14,187,concept_187,926.0,0.01095256395637989
132,concept_132,149,concept_149,926.0,0.007513411808758974
131,concept_131,193,concept_193,925.0,0.014247946441173553
14,concept_14,84,concept_84,922.0,0.010901883244514465
6,concept_6,236,concept_236,922.0,0.0068171704187989235
149,concept_149,218,concept_218,922.0,0.004890622105449438
119,concept_119,145,concept_145,919.0,0.00981583259999752
53,concept_53,211,concept_211,918.0,0.016479307785630226
20,concept_20,116,concept_116,918.0,0.00714130187407136
117,concept_117,149,concept_149,918.0,0.006659313105046749
117,concept_117,289,concept_289,917.0,0.00488083204254508
116,concept_116,259,concept_259,915.0,0.012647374533116817
145,concept_145,153,concept_153,915.0,0.0
77,concept_77,145,concept_145,913.0,0.011430718936026096
50,concept_50,145,concept_145,910.0,0.010241641663014889
36,concept_36,209,concept_209,909.0,0.010740339756011963
35,concept_35,240,concept_240,909.0,0.005686193238943815
212,concept_212,218,concept_218,907.0,0.00678540812805295
218,concept_218,311,concept_311,907.0,0.0
21,concept_21,244,concept_244,906.0,0.006476434413343668
54,concept_54,193,concept_193,905.0,0.0
145,concept_145,183,concept_183,905.0,0.0
36,concept_36,117,concept_117,904.0,0.011496560648083687
36,concept_36,260,concept_260,903.0,0.012294963002204895
145,concept_145,211,concept_211,901.0,0.0
194,concept_194,260,concept_260,900.0,0.014052788726985455
249,concept_249,294,concept_294,900.0,0.011482610367238522
14,concept_14,218,concept_218,900.0,0.006231615785509348
35,concept_35,209,concept_209,900.0,0.006177568808197975
253,concept_253,298,concept_298,899.0,0.011578245088458061
157,concept_157,187,concept_187,898.0,0.01606258936226368
35,concept_35,131,concept_131,898.0,0.007315933704376221
90,concept_90,304,concept_304,894.0,0.009540684521198273
25,concept_25,235,concept_235,892.0,0.007544307038187981
29,concept_29,84,concept_84,891.0,0.010722154751420021
38,concept_38,145,concept_145,891.0,0.009815365076065063
29,concept_29,218,concept_218,891.0,0.006278698332607746
54,concept_54,90,concept_90,891.0,0.0
44,concept_44,202,concept_202,888.0,0.01702548749744892
54,concept_54,283,concept_283,888.0,0.0
54,concept_54,268,concept_268,886.0,0.0
10,concept_10,294,concept_294,885.0,0.011119146831333637
69,concept_69,218,concept_218,885.0,0.006307621486485004
35,concept_35,149,concept_149,885.0,0.006104798521846533
132,concept_132,235,concept_235,883.0,0.005363622214645147
29,concept_29,172,concept_172,882.0,0.010802383534610271
21,concept_21,132,concept_132,882.0,0.010610699653625488
35,concept_35,117,concept_117,881.0,0.006508731283247471
235,concept_235,268,concept_268,881.0,0.0
63,concept_63,187,concept_187,880.0,0.01264211256057024
178,concept_178,235,concept_235,879.0,0.005224430933594704
149,concept_149,259,concept_259,874.0,0.006101230159401894
145,concept_145,202,concept_202,874.0,0.0
149,concept_149,209,concept_209,873.0,0.006393253803253174
35,concept_35,116,concept_116,872.0,0.007259552367031574
20,concept_20,274,concept_274,872.0,0.00698374817147851
50,concept_50,116,concept_116,870.0,0.017139581963419914
132,concept_132,289,concept_289,869.0,0.005173491779714823
149,concept_149,236,concept_236,868.0,0.005503109190613031
235,concept_235,249,concept_249,867.0,0.0
44,concept_44,110,concept_110,866.0,0.01630326919257641
54,concept_54,212,concept_212,866.0,0.0
14,concept_14,235,concept_235,864.0,0.006213992368429899
21,concept_21,54,concept_54,863.0,0.009244834072887897
53,concept_53,119,concept_119,862.0,0.015543326735496521
235,concept_235,253,concept_253,861.0,0.0
183,concept_183,249,concept_249,860.0,0.015730686485767365
153,concept_153,249,concept_249,859.0,0.015394742600619793
157,concept_157,253,concept_253,858.0,0.014680217951536179
90,concept_90,163,concept_163,858.0,0.010274427942931652
7,concept_7,54,concept_54,858.0,0.010236566886305809
29,concept_29,235,concept_235,858.0,0.006280265282839537
163,concept_163,235,concept_235,856.0,0.005423599388450384
25,concept_25,294,concept_294,854.0,0.011579237878322601
235,concept_235,259,concept_259,854.0,0.0
90,concept_90,193,concept_193,853.0,0.01080178190022707
20,concept_20,50,concept_50,853.0,0.0
151,concept_151,193,concept_193,852.0,0.0
6,concept_6,35,concept_35,850.0,0.00823501031845808
20,concept_20,132,concept_132,848.0,0.0
116,concept_116,304,concept_304,847.0,0.012061229906976223
10,concept_10,168,concept_168,845.0,0.011044373735785484
151,concept_151,308,concept_308,845.0,0.0
10,concept_10,218,concept_218,844.0,0.006368017755448818
21,concept_21,35,concept_35,842.0,0.010166840627789497
151,concept_151,274,concept_274,841.0,0.0
178,concept_178,236,concept_236,840.0,0.005744944792240858
145,concept_145,196,concept_196,840.0,0.0
235,concept_235,304,concept_304,840.0,0.0
236,concept_236,259,concept_259,839.0,0.004921101499348879
145,concept_145,220,concept_220,839.0,0.0
116,concept_116,163,concept_163,838.0,0.01338999904692173
36,concept_36,132,concept_132,837.0,0.011177219450473785
63,concept_63,84,concept_84,836.0,0.012006296776235104
172,concept_172,253,concept_253,835.0,0.01411273144185543
10,concept_10,153,concept_153,835.0,0.010591769590973854
6,concept_6,240,concept_240,835.0,0.006499226205050945
149,concept_149,304,concept_304,835.0,0.00600511534139514
235,concept_235,310,concept_310,834.0,0.0
29,concept_29,298,concept_298,833.0,0.01052984967827797
131,concept_131,289,concept_289,833.0,0.008119228295981884
145,concept_145,168,concept_168,833.0,0.0
45,concept_45,145,concept_145,832.0,0.011303804814815521
63,concept_63,151,concept_151,831.0,0.007620012853294611
116,concept_116,131,concept_131,830.0,0.014284907840192318
14,concept_14,298,concept_298,830.0,0.01030911784619093
193,concept_193,218,concept_218,830.0,0.006350281648337841
50,concept_50,259,concept_259,829.0,0.012835578992962837
100,concept_100,145,concept_145,829.0,0.011813994497060776
218,concept_218,274,concept_274,829.0,0.0
84,concept_84,253,concept_253,828.0,0.014663261361420155
90,concept_90,151,concept_151,828.0,0.0071061598137021065
149,concept_149,240,concept_240,828.0,0.005526124965399504
116,concept_116,193,concept_193,827.0,0.01397391315549612
110,concept_110,253,concept_253,826.0,0.015087878331542015
125,concept_125,145,concept_145,826.0,0.010425126180052757
44,concept_44,253,concept_253,825.0,0.014627153053879738
63,concept_63,244,concept_244,825.0,0.006432878784835339
289,concept_289,308,concept_308,825.0,0.0
21,concept_21,151,concept_151,823.0,0.006918482948094606
35,concept_35,36,concept_36,823.0,0.006869149394333363
145,concept_145,238,concept_238,823.0,0.0
6,concept_6,51,concept_51,821.0,0.007993076927959919
145,concept_145,277,concept_277,821.0,0.0
25,concept_25,183,concept_183,820.0,0.01134411059319973
10,concept_10,183,concept_183,820.0,0.010511786676943302
240,concept_240,304,concept_304,820.0,0.005357027053833008
240,concept_240,259,concept_259,819.0,0.005193558055907488
151,concept_151,243,concept_243,818.0,0.0
119,concept_119,211,concept_211,816.0,0.015281363390386105
187,concept_187,235,concept_235,816.0,0.007292887661606073
218,concept_218,308,concept_308,815.0,0.0
35,concept_35,50,concept_50,814.0,0.006741921417415142
54,concept_54,63,concept_63,814.0,0.0
10,concept_10,80,concept_80,813.0,0.01072746329009533
35,concept_35,274,concept_274,813.0,0.0069682109169662
51,concept_51,259,concept_259,812.0,0.00542824249714613
236,concept_236,304,concept_304,812.0,0.004906652495265007
187,concept_187,218,concept_218,811.0,0.00697800749912858
20,concept_20,101,concept_101,811.0,0.0
20,concept_20,36,concept_36,810.0,0.0
14,concept_14,51,concept_51,807.0,0.008793960325419903
151,concept_151,260,concept_260,807.0,0.0
70,concept_70,145,concept_145,806.0,0.01020179782062769
218,concept_218,249,concept_249,806.0,0.0
90,concept_90,218,concept_218,805.0,0.0063363066874444485
35,concept_35,311,concept_311,804.0,0.005431170575320721
110,concept_110,202,concept_202,803.0,0.01586150750517845
10,concept_10,244,concept_244,803.0,0.0056174397468566895
163,concept_163,236,concept_236,801.0,0.00583986472338438
20,concept_20,260,concept_260,800.0,0.0
145,concept_145,292,concept_292,800.0,0.0
151,concept_151,298,concept_298,800.0,0.0
218,concept_218,260,concept_260,799.0,0.0
25,concept_25,153,concept_153,798.0,0.010923928581178188
131,concept_131,244,concept_244,798.0,0.0070838346146047115
36,concept_36,244,concept_244,798.0,0.006332038436084986
163,concept_163,240,concept_240,798.0,0.00612456351518631
20,concept_20,75,concept_75,797.0,0.0
183,concept_183,294,concept_294,796.0,0.015735337510704994
149,concept_149,178,concept_178,796.0,0.006268390454351902
178,concept_178,240,concept_240,796.0,0.005730883684009314
45,concept_45,203,concept_203,795.0,0.01902434043586254
51,concept_51,304,concept_304,795.0,0.005475190933793783
6,concept_6,209,concept_209,794.0,0.006781301461160183
75,concept_75,289,concept_289,794.0,0.0055429041385650635
101,concept_101,236,concept_236,793.0,0.008261317387223244
194,concept_194,244,concept_244,793.0,0.007215964607894421
101,concept_101,151,concept_151,792.0,0.007526800036430359
51,concept_51,179,concept_179,792.0,0.007149705197662115
145,concept_145,203,concept_203,790.0,0.0
218,concept_218,310,concept_310,790.0,0.0
23,concept_23,38,concept_38,789.0,0.014404778368771076
29,concept_29,157,concept_157,788.0,0.009635308757424355
149,concept_149,163,concept_163,788.0,0.00635900953784585
59,concept_59,151,concept_151,787.0,0.008394584991037846
14,concept_14,157,concept_157,786.0,0.009443397633731365
221,concept_221,244,concept_244,786.0,0.00654998142272234
69,concept_69,131,concept_131,784.0,0.009156537242233753
25,concept_25,218,concept_218,784.0,0.00638368958607316
145,concept_145,254,concept_254,784.0,0.0
259,concept_259,260,concept_260,783.0,0.006139659788459539
243,concept_243,311,concept_311,781.0,0.010285499505698681
72,concept_72,145,concept_145,781.0,0.009829619899392128
149,concept_149,260,concept_260,779.0,0.006574011407792568
187,concept_187,244,concept_244,779.0,0.006214541383087635
116,concept_116,289,concept_289,776.0,0.008297237567603588
21,concept_21,218,concept_218,775.0,0.005975144449621439
51,concept_51,236,concept_236,775.0,0.0
63,concept_63,172,concept_172,774.0,0.011313327588140965
25,concept_25,80,concept_80,774.0,0.011021516285836697
51,concept_51,240,concept_240,774.0,0.0
50,concept_50,208,concept_208,773.0,0.01621611975133419
209,concept_209,259,concept_259,773.0,0.004746036604046822
36,concept_36,70,concept_70,772.0,0.011448035016655922
80,concept_80,145,concept_145,772.0,0.010079567320644855
6,concept_6,149,concept_149,772.0,0.0066261738538742065
117,concept_117,259,concept_259,772.0,0.0053118932992219925
54,concept_54,194,concept_194,772.0,0.0
179,concept_179,209,concept_209,771.0,0.012615259736776352
14,concept_14,209,concept_209,771.0,0.007370332721620798
35,concept_35,132,concept_132,771.0,0.0
145,concept_145,247,concept_247,770.0,0.0
151,concept_151,157,concept_157,769.0,0.0
84,concept_84,172,concept_172,768.0,0.014466649852693081
168,concept_168,249,concept_249,767.0,0.015109820291399956
239,concept_239,311,concept_311,767.0,0.012133418582379818
25,concept_25,168,concept_168,766.0,0.010804558172821999
69,concept_69,116,concept_116,766.0,0.009142057038843632
29,concept_29,51,concept_51,766.0,0.00849519856274128
6,concept_6,75,concept_75,766.0,0.007756981998682022
151,concept_151,262,concept_262,766.0,0.0
63,concept_63,298,concept_298,765.0,0.011540829204022884
101,concept_101,289,concept_289,764.0,0.0067792171612381935
14,concept_14,117,concept_117,763.0,0.007850595749914646
51,concept_51,163,concept_163,763.0,0.0
54,concept_54,187,concept_187,763.0,0.0
29,concept_29,289,concept_289,762.0,0.005466535221785307
53,concept_53,151,concept_151,761.0,0.008880654349923134
178,concept_178,274,concept_274,761.0,0.007506996393203735
101,concept_101,218,concept_218,760.0,0.0066242157481610775
14,concept_14,132,concept_132,759.0,0.00820027943700552
289,concept_289,311,concept_311,759.0,0.0
51,concept_51,178,concept_178,756.0,0.0
